food,price
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#pizza_by_the_slice_at_antonios_pizza_in_chatham,1.79
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#pizza_dipping_sauce_cup_at_hungry_howies_pizza_in_chandler,0.59
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#pizza_pretzel_at_mi_pals_deli_in_philadelphia,1.25
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#pizza_roll_at_china_moon_in_suffolk,1.25
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#pizza_roll_at_china_kitchen_in_denver,1.2
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#pizza_roll_at_mi_pals_deli_in_philadelphia,1.75
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#round_pizza_by_the_slice_at_rosa_ii_pizzeria_and_restaurant_in_middle_village,1.75
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#pizza_toppings_at_keyme_in_kent,1.75
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#pizza_roll_at_supreme_roast_beef_and_sea_food_in_danvers,1.85
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#cheese_pizza_at_greeks_pizzeria_in_indianapolis,1.42
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#pepperoni_pizza_pretzel_at_mi_pals_deli_in_philadelphia,1.5
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#taco_pizza_at_taco_pronto_in_wichita,1.99
